Category1,Category2,Category3,Category4,Category5,category_id,Item,Licensing,Website,Platform,Description
Data Interchange,Formats,,,,550,XML,Open Source,http://en.wikipedia.org/wiki/XML,,"Extensible Markup Language (XML) is a markup language that defines a set of rules for encoding documents in a format which is both human-readable and machine-readable. It is defined by the W3C's XML 1.0 Specification[2] and by several other related specifications,[3] all of which are free open standards"
Data Interchange,Formats,XML,,,550,DocBook,Open Source,http://www.docbook.org/,,DocBook is a semantic markup language for technical documentation. It was originally intended for writing technical documents related to computer hardware and software but it can be used for any other sort of documentation
Data Interchange,Formats,XML,,,550,XML-FO,Open Source,https://en.wikipedia.org/wiki/XSL_Formatting_Objects,,"XSL Formatting Objects, or XSL-FO, is a markup language for XML document formatting which is most often used to generate PDFs. XSL-FO is part of XSL (Extensible Stylesheet Language), a set of W3C technologies designed for the transformation and formatting of XML data"
Data Interchange,Formats,XML,,,550,SAML,Open Source,https://en.wikipedia.org/wiki/Security_Assertion_Markup_Language,,"Security Assertion Markup Language (SAML, pronounced sam-el[1]) is an XML-based, open-standard data format for exchanging authentication and authorization data between parties, in particular, between an identity provider and a service provider. SAML is a product of the OASIS Security Services Technical Committee. SAML dates from 2001; the most recent major update of SAML was published in 2005, but protocol enhancements have steadily been added through additional, optional standards"
Data Interchange,JSON,Tools,,,560,JSONViewer,Open Source,http://jsonviewer.stack.hu/,,View formatted json.
Data Interchange,JSON,Processors,,,570,Jackson,Open Source,http://jackson.codehaus.org/,,"Jackson is a FAST (measured to be faster than any other Java json parser and data binder) Streaming (reading, writing) Zero-dependency (does not rely on other packages beyond JDK) Powerful (full data binding for common JDK classes as well as any Java bean class, Collection, Map or Enum), Configurable Open Source (Apache License ? or, until 2.1, alternatively LGPL) JSON processor. It provides JSON parser/JSON generator as foundational building block; and adds a powerful Databinder (JSON<->POJO) and Tree Model as optional add-on blocks."
Data Interchange,JSON,Processors,,,570,Gson,Open Source,https://code.google.com/p/google-gson/,,Gson (also known as Google Gson) is an open source Java library to serialize and deserialize Java objects to (and from) JSON.
Data Interchange,XML/Xpath,Processors,,,580,JXPath,Open Source,http://commons.apache.org/proper/commons-jxpath/,,"The org.apache.commons.jxpath package defines a simple interpreter of an expression language called XPath. JXPath applies XPath expressions to graphs of objects of all kinds: JavaBeans, Maps, Servlet contexts, DOM etc, including mixtures thereof"
Data Interchange,XML/Xpath,Processors,,,580,Xstream,Open Source,http://xstream.codehaus.org/,,XStream is a simple library to serialize objects to XML and back again.
Data Interchange,XML/Xpath,Processors,,,580,XMLBeans,Open Source,http://xmlbeans.apache.org/,,"XMLBeans is a technology for accessing XML by binding it to Java types. XMLBeans provides several ways to get at the XML,"
Data Interchange,XML/Xpath,Processors,,,580,JiBX,Open Source,http://www.jibx.org/,,JiBX is a tool for binding XML data to Java objects.
